trial,leading_contour_id
1,2
2,3
3,3
4,2
5,3
6,1
7,1
8,2
9,2
10,1
11,3
12,1
13,2
14,3
15,3
16,1
17,2
18,1
19,2
20,1
21,3
22,1
23,1
24,1
25,1
26,2
27,2
28,3
29,1
30,3
31,3
32,2
33,1
34,2
35,2
36,3
37,3
38,3
39,1
40,2
41,3
42,2
43,2
44,2
45,1
46,1
47,3
48,3
49,3
50,2
51,3
52,1
53,3
54,2
55,2
56,3
57,3
58,1
59,1
60,2
61,2
62,1
63,2
64,2
65,2
66,1
67,2
68,2
69,1
70,1
71,1
72,1
73,1
74,3
75,2
76,2
77,2
78,3
79,1
80,2
81,2
82,1
83,3
84,2
85,3
86,3
87,3
88,2
89,1
90,3
91,3
92,2
93,2
94,1
95,1
96,2
97,2
98,1
99,3
100,1
101,3
102,2
103,1
104,1
105,3
106,2
107,3
108,2
109,1
110,3
111,2
112,1
113,2
114,1
115,3
116,3
117,2
118,1
119,1
120,3
121,1
122,1
123,1
124,3
125,2
126,3
127,3
128,1
129,3
130,3
131,3
132,1
133,3
134,3
135,1
136,2
137,2
138,2
139,2
140,1
141,2
142,1
143,3
144,1
145,3
146,3
147,3
148,2
149,2
150,1
151,2
152,2
153,1
154,1
155,2
156,2
157,1
158,2
159,2
160,2
161,3
162,2
163,1
164,2
165,2
166,3
167,2
168,1
169,1
170,3
171,3
172,2
173,2
174,2
175,1
176,1
177,3
178,3
179,3
180,3
181,1
182,3
183,2
184,3
185,3
186,2
187,3
188,3
189,1
190,1
191,2
192,1
193,1
194,1
195,2
196,3
197,3
198,1
199,3
200,1
